anno;scalo;nazionali/internazionali;arrivi/partenze;numero passeggeri
2018;Linate;nazionali;arrivi;2446217
2018;Linate;nazionali;partenze;2395291
2018;Linate;internazionali;arrivi;2172619
2018;Linate;internazionali;partenze;2172993
2018;Malpensa;nazionali;arrivi;2066738
2018;Malpensa;nazionali;partenze;2026483
2018;Malpensa;internazionali;arrivi;10255226
2018;Malpensa;internazionali;partenze;10213288
2018;Orio al Serio;nazionali;arrivi;1636762
2018;Orio al Serio;nazionali;partenze;1621984
2018;Orio al Serio;internazionali;arrivi;4772699
2018;Orio al Serio;internazionali;partenze;4795822
2017;Linate;nazionali;arrivi;2481310
2017;Linate;nazionali;partenze;2446378
2017;Linate;internazionali;arrivi;2293514
2017;Linate;internazionali;partenze;2281863
2017;Malpensa;nazionali;arrivi;1589339
2017;Malpensa;nazionali;partenze;1574885
2017;Malpensa;internazionali;arrivi;9448358
2017;Malpensa;internazionali;partenze;9424659
2017;Orio al Serio;nazionali;arrivi;1625131
2017;Orio al Serio;nazionali;partenze;1617420
2017;Orio al Serio;internazionali;arrivi;4493020
2017;Orio al Serio;internazionali;partenze;4495371
2016;Linate;nazionali;arrivi;2470252
2016;Linate;nazionali;partenze;2428154
2016;Linate;internazionali;arrivi;2378787
2016;Linate;internazionali;partenze;2359028
2016;Malpensa;nazionali;arrivi;1350356
2016;Malpensa;nazionali;partenze;1342775
2016;Malpensa;internazionali;arrivi;8324302
2016;Malpensa;internazionali;partenze;8294132
2016;Orio al Serio;nazionali;arrivi;1552942
2016;Orio al Serio;nazionali;partenze;1545902
2016;Orio al Serio;internazionali;arrivi;3965484
2016;Orio al Serio;internazionali;partenze;3994910
2015;Linate;nazionali;arrivi;2537544
2015;Linate;nazionali;partenze;2482416
2015;Linate;internazionali;arrivi;2307942
2015;Linate;internazionali;partenze;2310861
2015;Malpensa;nazionali;arrivi;1271511
2015;Malpensa;nazionali;partenze;1263364
2015;Malpensa;internazionali;arrivi;7965083
2015;Malpensa;internazionali;partenze;7944820
2015;Orio al Serio;nazionali;arrivi;1573789
2015;Orio al Serio;nazionali;partenze;1573416
2015;Orio al Serio;internazionali;arrivi;3568602
2015;Orio al Serio;internazionali;partenze;3589351
2014;Linate;nazionali;arrivi;2593497
2014;Linate;nazionali;partenze;2536212
2014;Linate;internazionali;arrivi;1920329
2014;Linate;internazionali;partenze;1934247
2014;Malpensa;nazionali;arrivi;1442839
2014;Malpensa;nazionali;partenze;1424855
2014;Malpensa;internazionali;arrivi;7916825
2014;Malpensa;internazionali;partenze;7885221
2014;Orio al Serio;nazionali;arrivi;1374707
2014;Orio al Serio;nazionali;partenze;1374133
2014;Orio al Serio;internazionali;arrivi;2956370
2014;Orio al Serio;internazionali;partenze;2990875
2013;Linate;nazionali;arrivi;2600568
2013;Linate;nazionali;partenze;2557936
2013;Linate;internazionali;arrivi;1908062
2013;Linate;internazionali;partenze;1917128
2013;Malpensa;nazionali;arrivi;1507669
2013;Malpensa;nazionali;partenze;1496032
2013;Malpensa;internazionali;arrivi;7413982
2013;Malpensa;internazionali;partenze;7363461
2013;Orio al Serio;nazionali;arrivi;1402996
2013;Orio al Serio;nazionali;partenze;1383925
2013;Orio al Serio;internazionali;arrivi;3033560
2013;Orio al Serio;internazionali;partenze;3062130
2012;Linate;nazionali;arrivi;2686975
2012;Linate;nazionali;partenze;2644056
2012;Linate;internazionali;arrivi;1913971
2012;Linate;internazionali;partenze;1930617
2012;Malpensa;nazionali;arrivi;1773708
2012;Malpensa;nazionali;partenze;1775849
2012;Malpensa;internazionali;arrivi;7437946
